,X16.bam,X17.bam,X18.bam,X19.bam,pval
GPP2,False,False,True,True,2.3138332611196393e-83
STL1,False,False,True,True,1.3618909757719697e-81
HXT1,False,False,True,True,2.3765770120332096e-74
AQR1,False,False,True,True,2.0340034943627494e-62
OAC1,False,False,True,True,2.6362991916810194e-51
RPS28B,False,False,True,True,7.142460559953439e-51
ALB1,False,False,True,True,9.277254414076619e-51
NSR1,False,False,True,True,1.0353784964793098e-50
DBP2,False,False,True,True,2.4364150461101697e-50
FSF1,False,False,True,True,1.68098856578072e-47
PRM10,False,False,True,True,1.3563436805499798e-44
YJL107C,False,False,True,True,4.2515182808697696e-44
PDE2,False,False,True,True,5.96851154563813e-44
TRM11,False,False,True,True,1.0102211023798098e-43
PFK27,False,False,True,True,9.22289164078425e-43
LCP5,False,False,True,True,7.661531182074609e-42
SAM1,False,False,True,True,2.92675063233388e-41
RSA4,False,False,True,True,4.2244194505652207e-41
AAH1,False,False,True,True,4.5250914261825297e-41
RRN11,False,False,True,True,2.02568814280915e-40
ADE4,False,False,True,True,4.853737224800759e-40
SNU13,False,False,True,True,3.29063608256378e-39
VTS1,False,False,True,True,4.61501023061161e-39
SSF1,False,False,True,True,7.17030050568083e-39
YGR079W,False,False,True,True,9.561644764859069e-39
SQT1,False,False,True,True,7.572399533915629e-38
RPA34,False,False,True,True,1.2630051352013e-37
NOP12,False,False,True,True,1.27145441570029e-37
GRE2,False,False,True,True,4.39825073541606e-37
YBL028C,False,False,True,True,5.02987063163029e-37
REX4,False,False,True,True,5.48063587045424e-37
SYO1,False,False,True,True,8.763580608068299e-37
YML018C,False,False,True,True,1.0164679923663799e-36
UTP9,False,False,True,True,1.26920131262509e-36
FRE4,False,False,True,True,2.5364885122713593e-36
PUS1,False,False,True,True,9.0223969927735e-36
URA7,False,False,True,True,1.28874985772994e-35
YLR264C-A,False,False,True,True,1.94175388083866e-35
RPA12,False,False,True,True,2.0562097536367499e-35
KRS1,False,False,True,True,8.807422349373929e-35
IPI3,False,False,True,True,4.64801179639289e-34
UTP6,False,False,True,True,7.5898955532284995e-34
UTP15,False,False,True,True,1.4347716043153e-33
UCC1,False,False,True,True,1.4793073181604001e-33
UTP18,False,False,True,True,2.3255426064056e-33
VID24,False,False,True,True,2.1060817352366498e-32
RPA49,False,False,True,True,4.46976417871382e-32
TPA1,False,False,True,True,5.744429146318139e-32
DHR2,False,False,True,True,6.744252937981209e-32
UTP8,False,False,True,True,2.8622694113001897e-31
