,X16.bam,X17.bam,X18.bam,X19.bam,pval
TMA10,True,True,False,False,1.71123821887929e-37
PCK1,True,True,False,False,4.3755247873346994e-33
ISF1,True,True,False,False,5.102702041041349e-29
HXT7,True,True,False,False,3.83256071671956e-28
HSP30,True,True,False,False,2.1232525193974399e-26
MLS1,True,True,False,False,2.5724330144179398e-26
CIT1,True,True,False,False,5.36728134556964e-26
SSE2,True,True,False,False,6.940811457120749e-25
GLK1,True,True,False,False,2.3302987918938498e-24
OPI3,True,True,False,False,3.33771896055135e-24
FAS2,True,True,False,False,3.68310695348766e-24
HXT6,True,True,False,False,4.003303027421149e-24
GLC3,True,True,False,False,6.09603272841991e-24
HSC82,True,True,False,False,2.45154456203514e-23
IDP2,True,True,False,False,3.91155719354151e-23
STF2,True,True,False,False,6.727922754833979e-23
HSP42,True,True,False,False,7.00987539080322e-23
EGO4,True,True,False,False,7.048136797419549e-23
GSY1,True,True,False,False,7.602007497171258e-23
APJ1,True,True,False,False,7.746658785509159e-23
PBI2,True,True,False,False,1.0463728857501199e-22
HSP82,True,True,False,False,1.2454184237254e-22
CHA1,True,True,False,False,2.43386375723816e-22
YNL194C,True,True,False,False,2.84631961180052e-22
ACO1,True,True,False,False,2.9966000782008595e-22
ACC1,True,True,False,False,3.6471361924646794e-22
CMK2,True,True,False,False,3.83792909666174e-22
GUT2,True,True,False,False,4.88817935314452e-22
CSS1,True,True,False,False,5.12648004283134e-22
SDS24,True,True,False,False,1.5088384436505498e-21
STF1,True,True,False,False,1.6264501443114198e-21
LSP1,True,True,False,False,1.8549621818207502e-21
POR1,True,True,False,False,3.05260103979502e-21
CHO2,True,True,False,False,3.8138671974637294e-21
ADR1,True,True,False,False,4.12305786001306e-21
ARA1,True,True,False,False,4.8028242985741e-21
CTR3,True,True,False,False,5.713613511764179e-21
FAS1,True,True,False,False,5.9475384338708896e-21
HPF1,True,True,False,False,6.717097866399809e-21
MDH1,True,True,False,False,7.2651165727425e-21
CKI1,True,True,False,False,7.45659980652397e-21
STI1,True,True,False,False,1.5531923185181897e-20
MDG1,True,True,False,False,1.95066565773094e-20
SUC2,True,True,False,False,2.0022528297895e-20
GDB1,True,True,False,False,5.09873734034229e-20
ICL2,True,True,False,False,5.93182639877368e-20
YBR053C,True,True,False,False,7.51677001630781e-20
HAP4,True,True,False,False,9.460574409996519e-20
HSP26,True,True,False,False,1.0083296496178399e-19
EIS1,True,True,False,False,1.17252630552693e-19
