0,X16.bam,X17.bam,X18.bam,X19.bam
GPP2,False,False,True,True
STL1,False,False,True,True
HXT1,False,False,True,True
AQR1,False,False,True,True
OAC1,False,False,True,True
RPS28B,False,False,True,True
NSR1,False,False,True,True
ALB1,False,False,True,True
DBP2,False,False,True,True
FSF1,False,False,True,True
PRM10,False,False,True,True
YJL107C,False,False,True,True
PDE2,False,False,True,True
TRM11,False,False,True,True
PFK27,False,False,True,True
LCP5,False,False,True,True
SAM1,False,False,True,True
RSA4,False,False,True,True
AAH1,False,False,True,True
RRN11,False,False,True,True
ADE4,False,False,True,True
SNU13,False,False,True,True
VTS1,False,False,True,True
SSF1,False,False,True,True
YGR079W,False,False,True,True
SQT1,False,False,True,True
NOP12,False,False,True,True
RPA34,False,False,True,True
TMA10,True,True,False,False
GRE2,False,False,True,True
YBL028C,False,False,True,True
REX4,False,False,True,True
SYO1,False,False,True,True
YML018C,False,False,True,True
UTP9,False,False,True,True
FRE4,False,False,True,True
PUS1,False,False,True,True
URA7,False,False,True,True
YLR264C-A,False,False,True,True
RPA12,False,False,True,True
KRS1,False,False,True,True
IPI3,False,False,True,True
UTP6,False,False,True,True
UTP15,False,False,True,True
UCC1,False,False,True,True
UTP18,False,False,True,True
PCK1,True,True,False,False
VID24,False,False,True,True
RPA49,False,False,True,True
TPA1,False,False,True,True
