	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GPP2	GPP2	16729.87589381	7.89995285861876	0.408404185984029	19.3434669127698	2.31383326111964e-83	1.34479989136273e-79
STL1	STL1	10088.3875658594	7.87425693783304	0.411570793902386	19.1322053325791	1.36189097577197e-81	3.95765517559333e-78
HXT1	HXT1	8495.18381695328	7.88162386689083	0.432049031555995	18.2424291949127	2.37657701203321e-74	4.60422186464566e-71
AQR1	AQR1	2109.59251633768	7.78535627620041	0.466922753446175	16.6737564591567	2.03400349436275e-62	2.95540707730908e-59
OAC1	OAC1	1727.16576088197	7.26932832031829	0.482440287148709	15.0678301832566	2.63629919168102e-51	3.06443418041002e-48
RPS28B	RPS28B	1387.81187716781	6.48318040518424	0.432159356843909	15.0018281509196	7.14246055995344e-51	6.91866346240823e-48
NSR1	NSR1	8021.26313257396	6.76742031759568	0.451849170637579	14.9771666240895	1.03537849647931e-50	7.52202477692222e-48
ALB1	ALB1	1291.14917225209	6.51163387814756	0.43455904522255	14.9844628704317	9.27725441407662e-51	7.52202477692222e-48
DBP2	DBP2	5328.97759833763	7.36398330904342	0.493558847673497	14.9201728299579	2.43641504611017e-50	1.57338269422137e-47
FSF1	FSF1	1052.36038007439	6.84435919009024	0.47275833603974	14.4775008039518	1.68098856578072e-47	9.76990554431754e-45
PRM10	PRM10	955.200371924124	5.99608780060043	0.427989953646363	14.0098797869327	1.35634368054998e-44	7.16642679214226e-42
YJL107C	YJL107C	845.32657171764	6.17172278160895	0.443100105497381	13.9285066851455	4.25151828086977e-44	2.05915202070126e-41
PDE2	PDE2	1923.1949752374	5.65887628624967	0.406988817724809	13.9042549568917	5.96851154563813e-44	2.66838377717299e-41
TRM11	TRM11	594.101731156924	7.8043310741043	0.562817131316586	13.8665485463241	1.01022110237981e-43	4.19386074787959e-41
PFK27	PFK27	1160.43896362789	5.70730204280007	0.416379535912149	13.7069705654416	9.22289164078425e-43	3.57356308108254e-40
LCP5	LCP5	730.701936765397	5.98033084547374	0.441272611297809	13.5524632446261	7.66153118207461e-42	2.7830512018886e-39
SAM1	SAM1	1930.66985394137	6.78031215093371	0.503972186924531	13.4537427398728	2.92675063233388e-41	1.00060439265438e-38
RSA4	RSA4	701.05391549194	5.8949429875876	0.43905002816538	13.4265860594982	4.22441945056522e-41	1.36401810259362e-38
AAH1	AAH1	2900.84297940906	6.47313923533841	0.482296540022622	13.4214921695992	4.52509142618253e-41	1.38420165099857e-38
RRN11	RRN11	522.191508267393	6.41398527308075	0.48189336987554	13.3099678767884	2.02568814280915e-40	5.8866497430034e-38
ADE4	ADE4	1596.52769738779	5.82196314863845	0.439575239748983	13.2445202144758	4.85373722480076e-40	1.34332955954962e-37
SNU13	SNU13	2038.49812483679	5.36791764842888	0.40976330637491	13.1000447451426	3.29063608256378e-39	8.69326223266396e-37
VTS1	VTS1	477.945924501065	6.3569665663964	0.486216699371985	13.0743484841374	4.61501023061161e-39	1.16619302001368e-36
SSF1	SSF1	1305.51878097384	5.58287921720772	0.428108724234087	13.0407975852299	7.17030050568083e-39	1.73640777245904e-36
YGR079W	YGR079W	1514.38027562165	5.32835399822933	0.409280346066489	13.0188367202068	9.56164476485907e-39	2.22289117493444e-36
SQT1	SQT1	1539.3778135534	5.33199982437088	0.414623813358703	12.8598494649366	7.57239953391563e-38	1.69272254196606e-35
NOP12	NOP12	1901.43930080129	5.68972191121512	0.443825471439872	12.8197281980152	1.27145441570029e-37	2.63917609430361e-35
RPA34	RPA34	1277.94006288366	5.22651322514211	0.407676542216992	12.8202451794742	1.2630051352013e-37	2.63917609430361e-35
TMA10	TMA10	14476.813845805	-5.02497589225641	0.392678262995808	-12.7966744426341	1.71123821887929e-37	3.42955742349187e-35
GRE2	GRE2	10482.8528490074	5.98037302576181	0.4700390884788	12.7231397820897	4.39825073541606e-37	8.52087775807938e-35
YBL028C	YBL028C	858.086555634266	5.39167648580596	0.424118913754982	12.7126527748319	5.02987063163029e-37	9.43019616485007e-35
REX4	REX4	383.022529413626	6.25206672579418	0.492058545514744	12.7059407519361	5.48063587045424e-37	9.95420489971251e-35
SYO1	SYO1	1078.81969040012	5.56272405463579	0.439075620918765	12.6691708435002	8.7635806080683e-37	1.54345243921494e-34
YML018C	YML018C	802.136865039722	5.83720830203629	0.461164863229886	12.6575304570125	1.01646799236638e-36	1.73756234459805e-34
UTP9	UTP9	1195.97280606714	5.15826105692947	0.408087598344876	12.6400828592939	1.26920131262509e-36	2.10759943685057e-34
FRE4	FRE4	1990.41838829143	6.43185922566312	0.511052095082818	12.5855256001266	2.53648851227136e-36	4.09501978703366e-34
PUS1	PUS1	1385.38382215345	5.22745302093865	0.418701066591065	12.484928838369	9.0223969927735e-36	1.41724787356756e-33
URA7	URA7	2044.41578406199	6.18479337866956	0.496510593760308	12.4565184638443	1.28874985772994e-35	1.971108992928e-33
YLR264C-A	YLR264C-A	400.248635981582	6.38284732842219	0.51376065393937	12.4237760900535	1.94175388083866e-35	2.89371116806008e-33
RPA12	RPA12	779.813087802612	5.28313891125424	0.425401088276954	12.4191946303031	2.05620975363675e-35	2.9876727720342e-33
KRS1	KRS1	4853.79395847213	5.21348113396513	0.42378236989287	12.302260557189	8.80742234937393e-35	1.24850582181857e-32
IPI3	IPI3	617.684630765346	5.51250063977996	0.453062700051483	12.1671915148909	4.64801179639289e-34	6.43196299062749e-32
UTP6	UTP6	839.750805240849	5.17949173096042	0.427100960239377	12.1270898760271	7.5898955532285e-34	1.02587146407823e-31
UTP15	UTP15	864.330009172749	5.18753148891141	0.429615622937094	12.0748204021225	1.4347716043153e-33	1.8952028555183e-31
UCC1	UCC1	721.5466455588	5.09717943165865	0.422220875195675	12.0723055895718	1.4793073181604e-33	1.91060758514406e-31
UTP18	UTP18	727.916760733359	5.18254208041159	0.430621511660027	12.0350283023092	2.3255426064056e-33	2.93827252791942e-31
PCK1	PCK1	21617.210237944	-4.70702265083793	0.392816490215153	-11.9827521707651	4.3755247873347e-33	5.41075533276367e-31
VID24	VID24	2415.01360891287	4.91950199301673	0.415084666682753	11.8518037111129	2.10608173523665e-32	2.55011396774905e-30
RPA49	RPA49	1315.18220278787	5.28812158687563	0.448579759610221	11.7885871432776	4.46976417871382e-32	5.30168763401729e-30
TPA1	TPA1	1370.18525632081	5.21567302760626	0.443229369556593	11.7674355217571	5.74442914631814e-32	6.67732443968021e-30
DHR2	DHR2	495.007340736861	6.07743413881691	0.517057333412451	11.7538882945675	6.74425293798121e-32	7.68580354422486e-30
UTP8	UTP8	841.037337047008	4.91001539839465	0.422143713248748	11.6311465605113	2.86226941130019e-31	3.19913650355322e-29
RRN7	RRN7	239.388199924515	6.30541817929547	0.544232578078583	11.5858888888217	4.85899746995264e-31	5.32839496138958e-29
YPL068C	YPL068C	278.55232555132	6.29108978381159	0.54412286797373	11.561891907317	6.42768267696327e-31	6.91809105898343e-29
IMP4	IMP4	802.699465240076	4.95559216276189	0.429072154406999	11.5495543392015	7.42042132465015e-31	7.84136158888485e-29
INA1	INA1	655.780662518778	5.39410953325057	0.469367556329901	11.4922931091114	1.44231721343405e-30	1.49691922222834e-28
SRP40	SRP40	2179.86669228846	5.46349239016374	0.475653997902966	11.4862745067861	1.54637985135283e-30	1.57676485895836e-28
MAE1	MAE1	5048.16510968938	5.5475725530693	0.485709651700197	11.4215818723189	3.262411030883e-30	3.21375134093084e-28
GPP1	GPP1	34470.0906615795	5.21745868542086	0.456769910093334	11.4225096052294	3.22776475467875e-30	3.21375134093084e-28
MIG1	MIG1	649.888335437358	5.33122684541773	0.467057237590406	11.4145042969938	3.53915945627761e-30	3.42826579331425e-28
ISU2	ISU2	580.407505464329	6.3351857375771	0.556712968150174	11.3796266658336	5.2825383635931e-30	5.03313327363985e-28
PRP43	PRP43	1323.25168596768	5.13899415572587	0.452609519257792	11.3541451009537	7.07283282053431e-30	6.63021037950733e-28
IPI1	IPI1	377.949312021591	5.5968020964656	0.493249332225967	11.3468011628277	7.69257512853172e-30	7.09670581698831e-28
UTP23	UTP23	599.98472001834	4.87227809739694	0.430706346229978	11.3122969745966	1.14063736431146e-29	1.03584130646534e-27
TSR2	TSR2	394.342815569313	5.34538270956864	0.476146899403135	11.2263310257176	3.02792378078779e-29	2.7074296944521e-27
RPS9A	RPS9A	1679.08881599988	4.75732063595126	0.424196356981509	11.2149021500405	3.44567280201247e-29	3.03428035231765e-27
ALD5	ALD5	875.422391781474	6.17741097373824	0.551512891353601	11.2008460193501	4.03858119177778e-29	3.50331849053917e-27
NOP15	NOP15	1231.38295082229	4.64896428118972	0.415403020424372	11.1914551715112	4.49003575903699e-29	3.83765997522397e-27
SER2	SER2	416.202219078678	6.12355397156246	0.547242716070092	11.1898318456159	4.57300052267495e-29	3.85192449822997e-27
ISF1	ISF1	2811.65853791094	-4.79343982368448	0.428747128822188	-11.1801094431875	5.10270204104135e-29	4.23670060893319e-27
TRF5	TRF5	234.928891036146	5.85041509882102	0.524485561303338	11.1545779912088	6.80147632871259e-29	5.56763104541937e-27
RRP9	RRP9	907.380194332538	4.62072226158651	0.415972104234975	11.1082503238639	1.14378659079372e-28	9.23289953568488e-27
RPL22B	RPL22B	1134.86212589547	5.38446688676855	0.485477825217073	11.0910665885944	1.3862494808846e-28	1.10368246341114e-26
NOG2	NOG2	1315.06630073475	4.53918794800915	0.409361459372659	11.0884594630999	1.4272445619134e-28	1.12096559376226e-26
AIR1	AIR1	350.975868047185	5.18477107005904	0.468209597370659	11.0736112612286	1.68471790543026e-28	1.30554406218143e-26
RPF2	RPF2	1338.40450729936	4.54064149532032	0.410883883932402	11.0509116392293	2.16999970800542e-28	1.6594787240694e-26
RPC19	RPC19	1030.64649367106	4.601574175107	0.416551116834178	11.0468415259076	2.27063558220713e-28	1.71388753295946e-26
CIC1	CIC1	1667.91978291348	4.50716424337322	0.408304549415684	11.0387313827958	2.48517036034889e-28	1.85177053004459e-26
HXT7	HXT7	2154.05059200441	-4.50640838403572	0.409683355108438	-10.999735107234	3.83256071671956e-28	2.81960036526254e-26
BAT1	BAT1	5097.14893918229	4.82267850454729	0.440239671570808	10.9546658694788	6.31108412719115e-28	4.58500261840437e-26
YHR022C	YHR022C	392.558156963748	6.1896856654362	0.565319515010728	10.9490040606837	6.71822081817619e-28	4.8205307895358e-26
TRM44	TRM44	463.137119563909	5.04516011938427	0.463018994383527	10.896227110729	1.20136055034397e-27	8.51500916902334e-26
LEU9	LEU9	894.326239233582	5.25946473713406	0.483850563019466	10.870018842827	1.60167766496563e-27	1.12156031190123e-25
SDO1	SDO1	658.94349712751	4.57372706538785	0.42103617436371	10.8630263713086	1.72921663450171e-27	1.19645322377666e-25
NOG1	NOG1	3491.41401252853	4.59292482161449	0.423549284788554	10.8438970069502	2.13191812300157e-27	1.45773036833943e-25
SOF1	SOF1	916.240623635357	4.53954433224679	0.420395715948353	10.7982649680581	3.50769077882448e-27	2.37054637285208e-25
EMG1	EMG1	1341.9442556798	5.31460397937834	0.492384445934942	10.7936065471909	3.69017664387834e-27	2.4652076614047e-25
CYS3	CYS3	1373.86219387232	4.74652081032185	0.442799993146244	10.7193335225599	8.25963480526603e-27	5.45511335093252e-25
RIX7	RIX7	583.698046634831	4.57049265468954	0.426662395348502	10.7121993982064	8.92166531117276e-27	5.8261481784872e-25
KIN4	KIN4	298.271776189011	5.19416546508445	0.485854291667451	10.6907884815797	1.12411219032847e-26	7.25926672243231e-25
NAF1	NAF1	792.711499851646	5.08504052406056	0.476766196196145	10.6656901530169	1.47301365993195e-26	9.40786306760932e-25
MES1	MES1	1302.09883898865	4.40717032858457	0.413522711701407	10.6576258180636	1.60646035368129e-26	1.01486386691257e-24
YKL023C-A	YKL023C-A	403.72628844055	4.66205807514164	0.437544134407822	10.6550578753646	1.65141914343074e-26	1.03204817866876e-24
GDH1	GDH1	6564.16657473163	4.65751823202819	0.437512663733331	10.6454478192362	1.83101711500424e-26	1.13211398642602e-24
ARX1	ARX1	1447.32630046745	4.59386455663885	0.431811753816531	10.638581548641	1.97107060242103e-26	1.20588024644958e-24
HSP30	HSP30	60779.4743553479	-4.45080453553377	0.418637283180153	-10.6316487192051	2.12325251939744e-26	1.2854524627852e-24
MLS1	MLS1	7960.13512910279	-4.79076069953532	0.451373501837291	-10.6137393534064	2.57243301441794e-26	1.54133821441207e-24
MAK16	MAK16	1354.27849099017	4.50043866312026	0.425368134812464	10.5801029621187	3.68552997902724e-26	2.18574492225575e-24
PNO1	PNO1	2259.12141737695	4.18842996151044	0.395949746159524	10.5781857473978	3.76171492471506e-26	2.2083926406509e-24
SPB1	SPB1	964.070160804595	4.40102232626078	0.416256630538922	10.5728581922235	3.98171153082301e-26	2.31417074171433e-24
CIT1	CIT1	5102.80230045026	-4.34695288424887	0.412235667902988	-10.5448247755016	5.36728134556964e-26	3.08857813667829e-24
DBP7	DBP7	642.152625729081	4.83566655556635	0.458684832954264	10.5424601123633	5.50399441084374e-26	3.13619759959057e-24
ARO7	ARO7	422.649741880573	5.11192190753026	0.485530171561332	10.528536035344	6.38192642476121e-26	3.60114139618564e-24
GFD2	GFD2	482.528957397694	4.821915200987	0.460196354674011	10.4779517525789	1.0908055248922e-25	6.09592472180143e-24
FCY2	FCY2	4203.28119979147	4.24943669024436	0.405996755793807	10.4666764687216	1.22881787669146e-25	6.80179952317218e-24
HGH1	HGH1	803.409889635003	4.54919356216799	0.435378295893852	10.4488294549187	1.48344784615108e-25	8.1337725300284e-24
YJR124C	YJR124C	302.994753700608	5.29209772917518	0.507439066188757	10.4290309552293	1.82742423146611e-25	9.92615853577666e-24
NRP1	NRP1	521.304099150467	4.49011658165124	0.431168345296739	10.4138363370833	2.14403481560909e-25	1.15380836558519e-23
DUS1	DUS1	288.736587428305	5.03103728811944	0.484204656047328	10.390311669427	2.74454789766598e-25	1.46342315424171e-23
BUD21	BUD21	905.07454192647	4.23789610159824	0.40839241246043	10.377019680817	3.15469967192056e-25	1.66682859029112e-23
DBP8	DBP8	483.296203123151	4.45533244325422	0.429508138819663	10.3731036517678	3.28672977698838e-25	1.72094355530238e-23
YBL081W	YBL081W	355.756502074109	4.72095429444409	0.455352642540523	10.3676883658888	3.47837294402844e-25	1.78905341156578e-23
YLR363W-A	YLR363W-A	425.887532486308	4.66047870415683	0.449498287833218	10.3681789904527	3.46056336280198e-25	1.78905341156578e-23
ASP1	ASP1	470.345163292001	4.7564559863261	0.459260642535715	10.3567681307597	3.89914651022557e-25	1.98788065942377e-23
MSI1	MSI1	207.260331022727	5.21669112166692	0.504069398131772	10.3491525988316	4.22206121999811e-25	2.13379302701122e-23
YKL068W-A	YKL068W-A	235.156385404665	5.10708243496925	0.495631471121882	10.3041932010676	6.7455302319805e-25	3.37974325071299e-23
SSE2	SSE2	4155.78434593995	-4.14166942623519	0.402047283045453	-10.3014486128662	6.94081145712075e-25	3.44786292211845e-23
NIP7	NIP7	929.456593943496	4.82132827061124	0.468522745506293	10.2904892384707	7.7780161204939e-25	3.8310025162975e-23
RPA135	RPA135	2469.76004467982	4.49251806829995	0.438823509386562	10.237642177786	1.34473540589753e-24	6.56773292359367e-23
YEH1	YEH1	332.27446671612	4.61276297071414	0.450969121862847	10.2285561185651	1.47705098474157e-24	7.15385026943166e-23
HMT1	HMT1	963.482007648113	4.48643425995359	0.440520953467831	10.1843833412142	2.32831353052667e-24	1.11013906381042e-22
GLK1	GLK1	5518.88118293252	-4.02833555740321	0.395543668574106	-10.1843004387479	2.33029879189385e-24	1.11013906381042e-22
HLR1	HLR1	159.994202341775	5.93431875297412	0.584702095131266	10.1493030423328	3.33738249533811e-24	1.56442117731649e-22
OPI3	OPI3	5526.21064546257	-4.00876344473768	0.394979567984444	-10.1492932031754	3.33771896055135e-24	1.56442117731649e-22
JJJ3	JJJ3	267.139601781572	4.82490171663538	0.47554984915921	10.1459431123067	3.45425596969968e-24	1.60609085567156e-22
FAS2	FAS2	4932.05286880944	-4.10028316822125	0.404380007940895	-10.1396782425024	3.68310695348766e-24	1.6989061598151e-22
TSR1	TSR1	1256.13753907376	4.12136905090451	0.406560810250174	10.1371527874722	3.77955115399007e-24	1.72966545724333e-22
HXT6	HXT6	1003.73246107496	-4.29045293385378	0.423475268352137	-10.1315312947298	4.00330302742115e-24	1.81774978088842e-22
NOP13	NOP13	920.417959303382	4.58324618561741	0.453595377634456	10.1042612239999	5.28927138709686e-24	2.3830422714579e-22
GDT1	GDT1	833.446489821628	5.03976229672594	0.499316273833935	10.0933267366368	5.91308757808364e-24	2.637554506851e-22
NOP1	NOP1	4115.44888587621	4.68341103026026	0.464034877237946	10.0927996148417	5.94493531310188e-24	2.637554506851e-22
GLC3	GLC3	3247.78568239694	-4.42618811231278	0.438656155148516	-10.0903362699064	6.09603272841991e-24	2.68410168314974e-22
CGR1	CGR1	807.077025624608	5.13943025261834	0.510134231345833	10.0746625825511	7.15058016202409e-24	3.12474976704391e-22
NOC3	NOC3	494.691352285419	4.45191587779075	0.442040996877161	10.0712737262872	7.40132797672389e-24	3.21018792542681e-22
NAN1	NAN1	1224.47543699504	4.46163859458793	0.443906426678341	10.0508537981156	9.1074885000556e-24	3.92094245646838e-22
ARI1	ARI1	238.246226640256	5.40412570224999	0.537996463152348	10.044909348632	9.67365823535771e-24	4.13406629881611e-22
BRX1	BRX1	1626.42851513732	4.53005143329913	0.451018230115481	10.0440539446471	9.75794852963937e-24	4.13964940542073e-22
ESF2	ESF2	550.280108978302	4.25613051684467	0.424257827914577	10.0319434004683	1.10323453524143e-23	4.64637617306027e-22
PRM7	PRM7	374.159073018775	4.57857928454756	0.457140330089678	10.015697551011	1.30041285040422e-23	5.43740970255348e-22
RPS25B	RPS25B	2603.44631819417	3.98577924466661	0.398319464264119	10.0064887665738	1.42728515350011e-23	5.92527236581618e-22
PUF6	PUF6	1260.72304667901	4.41772783397646	0.441868189848375	9.99784083912532	1.55755964729131e-23	6.42023877309014e-22
RPC40	RPC40	1393.64529252395	4.06046068355192	0.406217690235685	9.99577512539166	1.59038083456262e-23	6.50936155667462e-22
SHQ1	SHQ1	296.998312782605	4.63761256023207	0.464543506134309	9.98316088588533	1.80619365134487e-23	7.34097727385761e-22
HSC82	HSC82	8250.20615559755	-3.87656363225449	0.389494282001728	-9.95281268914058	2.45154456203514e-23	9.89470624621403e-22
FCF2	FCF2	635.113590285908	4.16667901108441	0.419051958543133	9.94310830945688	2.70259864925802e-23	1.08327609306811e-21
YDR222W	YDR222W	940.779648403442	4.20671363188397	0.423179966229661	9.94072018428437	2.7681850390473e-23	1.10196516759883e-21
STD1	STD1	205.033895296957	5.16189138819436	0.520837943977965	9.91074373109178	3.73852739967427e-23	1.47811709162632e-21
IDP2	IDP2	1448.72825416274	-4.43507600236165	0.447706065847876	-9.9062227221836	3.91155719354151e-23	1.53607908167995e-21
BFR2	BFR2	998.03665130381	3.99719361931135	0.403793071824678	9.89911392300184	4.19979433231492e-23	1.63820165499425e-21
ECM12	ECM12	164.719812877241	6.13715079851026	0.620183031106398	9.89570899345902	4.34520473145282e-23	1.67532992864185e-21
REI1	REI1	1097.09798005934	4.04223113201792	0.408490277015179	9.8955381791565	4.35262937413831e-23	1.67532992864185e-21
STF2	STF2	3073.982640366	-4.67234301262841	0.474259426873829	-9.85187167164403	6.72792275483398e-23	2.57254520072994e-21
EGO4	EGO4	8244.29964755904	-3.87046181136211	0.393052088430715	-9.84719818387219	7.04813679741955e-23	2.65998513419496e-21
HSP42	HSP42	8892.34606480991	-4.09570840571	0.415903156612218	-9.84774542004446	7.00987539080322e-23	2.65998513419496e-21
LIA1	LIA1	2608.69069967511	4.33396704253955	0.440460952479303	9.83961692437016	7.59996602537367e-23	2.81419538685091e-21
URA6	URA6	914.468145770108	4.26422958972077	0.433335787641781	9.84047408806637	7.5354899281322e-23	2.81419538685091e-21
GSY1	GSY1	887.894152885535	-4.21072859131359	0.427937407267168	-9.83958990218579	7.60200749717126e-23	2.81419538685091e-21
APJ1	APJ1	2131.07071201347	-3.96146287155987	0.402682088467707	-9.83769326973072	7.74665878550916e-23	2.84959372540375e-21
NMA111	NMA111	620.107886300597	4.33390224689609	0.440881889634214	9.83007546645156	8.35561377006616e-23	3.05426586362418e-21
PBI2	PBI2	3243.25107417471	-4.02722114452741	0.410631173389805	-9.80739263237678	1.04637288575012e-22	3.80094950748733e-21
UTP22	UTP22	655.636521472138	4.07844511224809	0.41649679581886	9.79226047640919	1.21547605896331e-22	4.38779307745017e-21
HSP82	HSP82	10681.1104695208	-4.10270249935656	0.41907929168601	-9.78980011837581	1.2454184237254e-22	4.46813078931605e-21
